GeoName,State,Description,Unit, Year 
Hart,KY,Per capita personal income (dollars),Dollars,"31,296"
McNairy,TN,Per capita personal income (dollars),Dollars,"31,310"
Columbus,NC,Per capita personal income (dollars),Dollars,"31,351"
Rutherford,NC,Per capita personal income (dollars),Dollars,"31,351"
Bollinger,MO,Per capita personal income (dollars),Dollars,"31,359"
Hempstead,AR,Per capita personal income (dollars),Dollars,"31,369"
Macon,AL,Per capita personal income (dollars),Dollars,"31,372"
Greene,AL,Per capita personal income (dollars),Dollars,"31,388"
Hickman,TN,Per capita personal income (dollars),Dollars,"31,401"
Haskell,OK,Per capita personal income (dollars),Dollars,"31,417"
Canyon,ID,Per capita personal income (dollars),Dollars,"31,422"
Hardin,OH,Per capita personal income (dollars),Dollars,"31,427"
Union,MS,Per capita personal income (dollars),Dollars,"31,432"
Williamsburg,SC,Per capita personal income (dollars),Dollars,"31,437"
Sumter,AL,Per capita personal income (dollars),Dollars,"31,452"
Randolph,GA,Per capita personal income (dollars),Dollars,"31,453"
Pemiscot,MO,Per capita personal income (dollars),Dollars,"31,486"
Guadalupe,NM,Per capita personal income (dollars),Dollars,"31,501"
Johnson,TN,Per capita personal income (dollars),Dollars,"31,510"
Graham,NC,Per capita personal income (dollars),Dollars,"31,517"
Grayson,VA,Per capita personal income (dollars),Dollars,"31,518"
Edmonson,KY,Per capita personal income (dollars),Dollars,"31,542"
Lee,SC,Per capita personal income (dollars),Dollars,"31,553"
Noxubee,MS,Per capita personal income (dollars),Dollars,"31,581"
Webster,MO,Per capita personal income (dollars),Dollars,"31,583"
Wise + Norton,VA,Per capita personal income (dollars),Dollars,"31,587"
Allendale,SC,Per capita personal income (dollars),Dollars,"31,593"
Wayne,WV,Per capita personal income (dollars),Dollars,"31,596"
Concordia,LA,Per capita personal income (dollars),Dollars,"31,599"
Union,SC,Per capita personal income (dollars),Dollars,"31,618"
White,TN,Per capita personal income (dollars),Dollars,"31,628"
Leslie,KY,Per capita personal income (dollars),Dollars,"31,632"
Escambia,AL,Per capita personal income (dollars),Dollars,"31,641"
Hudspeth,TX,Per capita personal income (dollars),Dollars,"31,643"
Coal,OK,Per capita personal income (dollars),Dollars,"31,645"
Brunswick,VA,Per capita personal income (dollars),Dollars,"31,653"
Baraga,MI,Per capita personal income (dollars),Dollars,"31,664"
Boone,WV,Per capita personal income (dollars),Dollars,"31,671"
Panola,MS,Per capita personal income (dollars),Dollars,"31,684"
Cherokee,SC,Per capita personal income (dollars),Dollars,"31,686"
Mason,WV,Per capita personal income (dollars),Dollars,"31,690"
Dent,MO,Per capita personal income (dollars),Dollars,"31,694"
Marshall,OK,Per capita personal income (dollars),Dollars,"31,695"
George,MS,Per capita personal income (dollars),Dollars,"31,697"
Walker,GA,Per capita personal income (dollars),Dollars,"31,704"
Tishomingo,MS,Per capita personal income (dollars),Dollars,"31,711"
Monroe,AL,Per capita personal income (dollars),Dollars,"31,720"
Scotland,NC,Per capita personal income (dollars),Dollars,"31,732"
Jefferson,OR,Per capita personal income (dollars),Dollars,"31,738"
Mohave,AZ,Per capita personal income (dollars),Dollars,"31,742"
Allen,LA,Per capita personal income (dollars),Dollars,"31,754"
Pike,AR,Per capita personal income (dollars),Dollars,"31,759"
Terry,TX,Per capita personal income (dollars),Dollars,"31,760"
Greensville + Emporia,VA,Per capita personal income (dollars),Dollars,"31,774"
Robertson,KY,Per capita personal income (dollars),Dollars,"31,779"
Ohio,KY,Per capita personal income (dollars),Dollars,"31,780"
Benson,ND,Per capita personal income (dollars),Dollars,"31,802"
Marion,AL,Per capita personal income (dollars),Dollars,"31,807"
Morgan,OH,Per capita personal income (dollars),Dollars,"31,810"
Hertford,NC,Per capita personal income (dollars),Dollars,"31,830"
Jackson,NC,Per capita personal income (dollars),Dollars,"31,851"
Colquitt,GA,Per capita personal income (dollars),Dollars,"31,859"
Latimer,OK,Per capita personal income (dollars),Dollars,"31,867"
Summers,WV,Per capita personal income (dollars),Dollars,"31,876"
Grainger,TN,Per capita personal income (dollars),Dollars,"31,892"
Allen,KY,Per capita personal income (dollars),Dollars,"31,901"
Jefferson,MS,Per capita personal income (dollars),Dollars,"31,910"
Maries,MO,Per capita personal income (dollars),Dollars,"31,914"
Bamberg,SC,Per capita personal income (dollars),Dollars,"31,915"
Nicholas,WV,Per capita personal income (dollars),Dollars,"31,916"
Le Flore,OK,Per capita personal income (dollars),Dollars,"31,925"
Union,KY,Per capita personal income (dollars),Dollars,"31,927"
Suwannee,FL,Per capita personal income (dollars),Dollars,"31,943"
Choctaw,MS,Per capita personal income (dollars),Dollars,"31,949"
Baldwin,GA,Per capita personal income (dollars),Dollars,"31,950"
Sevier,UT,Per capita personal income (dollars),Dollars,"31,954"
Pontotoc,MS,Per capita personal income (dollars),Dollars,"31,956"
Monroe,TN,Per capita personal income (dollars),Dollars,"31,971"
Clarendon,SC,Per capita personal income (dollars),Dollars,"31,979"
Monroe,OH,Per capita personal income (dollars),Dollars,"31,984"
Adair,MO,Per capita personal income (dollars),Dollars,"31,995"
Dallas,MO,Per capita personal income (dollars),Dollars,"31,995"
Falls,TX,Per capita personal income (dollars),Dollars,"31,999"
Russell,VA,Per capita personal income (dollars),Dollars,"32,004"
Johnson,KY,Per capita personal income (dollars),Dollars,"32,007"
Seminole,OK,Per capita personal income (dollars),Dollars,"32,016"
Clay,AL,Per capita personal income (dollars),Dollars,"32,017"
Crawford,AR,Per capita personal income (dollars),Dollars,"32,042"
Emanuel,GA,Per capita personal income (dollars),Dollars,"32,066"
Calhoun,MS,Per capita personal income (dollars),Dollars,"32,079"
Appling,GA,Per capita personal income (dollars),Dollars,"32,080"
Caldwell,TX,Per capita personal income (dollars),Dollars,"32,083"
Yell,AR,Per capita personal income (dollars),Dollars,"32,100"
Newton,TX,Per capita personal income (dollars),Dollars,"32,100"
Monroe,AR,Per capita personal income (dollars),Dollars,"32,110"
Valencia,NM,Per capita personal income (dollars),Dollars,"32,111"
Vinton,OH,Per capita personal income (dollars),Dollars,"32,114"
New Madrid,MO,Per capita personal income (dollars),Dollars,"32,116"
Barnwell,SC,Per capita personal income (dollars),Dollars,"32,117"
Wyandotte,KS,Per capita personal income (dollars),Dollars,"32,157"
Sequoyah,OK,Per capita personal income (dollars),Dollars,"32,171"
Houston,TN,Per capita personal income (dollars),Dollars,"32,184"
Oscoda,MI,Per capita personal income (dollars),Dollars,"32,189"
Kiowa,OK,Per capita personal income (dollars),Dollars,"32,195"
Mississippi,MO,Per capita personal income (dollars),Dollars,"32,205"
Lunenburg,VA,Per capita personal income (dollars),Dollars,"32,208"
Washington,LA,Per capita personal income (dollars),Dollars,"32,210"
Webster,GA,Per capita personal income (dollars),Dollars,"32,211"
McIntosh,OK,Per capita personal income (dollars),Dollars,"32,223"
Lamar,AL,Per capita personal income (dollars),Dollars,"32,230"
Alger,MI,Per capita personal income (dollars),Dollars,"32,245"
Copiah,MS,Per capita personal income (dollars),Dollars,"32,250"
Randolph,AR,Per capita personal income (dollars),Dollars,"32,251"
Scott,VA,Per capita personal income (dollars),Dollars,"32,258"
Bleckley,GA,Per capita personal income (dollars),Dollars,"32,278"
Osceola,FL,Per capita personal income (dollars),Dollars,"32,315"
Owyhee,ID,Per capita personal income (dollars),Dollars,"32,319"
Overton,TN,Per capita personal income (dollars),Dollars,"32,381"
Russell,AL,Per capita personal income (dollars),Dollars,"32,384"
Okmulgee,OK,Per capita personal income (dollars),Dollars,"32,391"
Lamar,GA,Per capita personal income (dollars),Dollars,"32,395"
Howell,MO,Per capita personal income (dollars),Dollars,"32,414"
Athens,OH,Per capita personal income (dollars),Dollars,"32,414"
