GeoName,Description,Unit, Year 
"Costilla, CO",Per capita personal income (dollars),Dollars," 32,846 "
"Crowley, CO",Per capita personal income (dollars),Dollars," 19,263 "
"Custer, CO",Per capita personal income (dollars),Dollars," 39,608 "
"Delta, CO",Per capita personal income (dollars),Dollars," 36,373 "
"Denver, CO",Per capita personal income (dollars),Dollars," 74,396 "
"Dolores, CO",Per capita personal income (dollars),Dollars," 33,542 "
"Douglas, CO",Per capita personal income (dollars),Dollars," 70,029 "
"Eagle, CO",Per capita personal income (dollars),Dollars," 73,114 "
"Elbert, CO",Per capita personal income (dollars),Dollars," 54,624 "
"El Paso, CO",Per capita personal income (dollars),Dollars," 46,692 "
"Fremont, CO",Per capita personal income (dollars),Dollars," 33,558 "
"Garfield, CO",Per capita personal income (dollars),Dollars," 55,931 "
"Gilpin, CO",Per capita personal income (dollars),Dollars," 45,826 "
"Grand, CO",Per capita personal income (dollars),Dollars," 46,817 "
"Gunnison, CO",Per capita personal income (dollars),Dollars," 44,676 "
"Hinsdale, CO",Per capita personal income (dollars),Dollars," 49,886 "
"Huerfano, CO",Per capita personal income (dollars),Dollars," 40,864 "
"Jackson, CO",Per capita personal income (dollars),Dollars," 45,186 "
"Jefferson, CO*",Per capita personal income (dollars),Dollars," 60,206 "
"Kiowa, CO",Per capita personal income (dollars),Dollars," 52,095 "
"Kit Carson, CO",Per capita personal income (dollars),Dollars," 37,887 "
"Lake, CO",Per capita personal income (dollars),Dollars," 34,801 "
"La Plata, CO",Per capita personal income (dollars),Dollars," 53,026 "
"Larimer, CO",Per capita personal income (dollars),Dollars," 51,497 "
"Las Animas, CO",Per capita personal income (dollars),Dollars," 38,267 "
"Lincoln, CO",Per capita personal income (dollars),Dollars," 26,641 "
"Logan, CO",Per capita personal income (dollars),Dollars," 47,303 "
"Mesa, CO",Per capita personal income (dollars),Dollars," 42,239 "
"Mineral, CO",Per capita personal income (dollars),Dollars," 66,179 "
"Moffat, CO",Per capita personal income (dollars),Dollars," 39,806 "
"Montezuma, CO",Per capita personal income (dollars),Dollars," 40,316 "
"Montrose, CO",Per capita personal income (dollars),Dollars," 37,663 "
"Morgan, CO",Per capita personal income (dollars),Dollars," 42,986 "
"Otero, CO",Per capita personal income (dollars),Dollars," 36,194 "
"Ouray, CO",Per capita personal income (dollars),Dollars," 56,013 "
"Park, CO",Per capita personal income (dollars),Dollars," 43,280 "
"Phillips, CO",Per capita personal income (dollars),Dollars," 42,654 "
"Pitkin, CO",Per capita personal income (dollars),Dollars," 138,328 "
"Prowers, CO",Per capita personal income (dollars),Dollars," 40,067 "
"Pueblo, CO",Per capita personal income (dollars),Dollars," 37,540 "
"Rio Blanco, CO",Per capita personal income (dollars),Dollars," 44,284 "
"Rio Grande, CO",Per capita personal income (dollars),Dollars," 43,609 "
"Routt, CO",Per capita personal income (dollars),Dollars," 78,253 "
"Saguache, CO",Per capita personal income (dollars),Dollars," 28,846 "
"San Juan, CO",Per capita personal income (dollars),Dollars," 45,219 "
"San Miguel, CO",Per capita personal income (dollars),Dollars," 80,349 "
"Sedgwick, CO",Per capita personal income (dollars),Dollars," 48,630 "
"Summit, CO",Per capita personal income (dollars),Dollars," 63,601 "
"Teller, CO",Per capita personal income (dollars),Dollars," 47,164 "
"Washington, CO",Per capita personal income (dollars),Dollars," 38,071 "
